Train.Red Export for;Session at 16/01/2026 11:40;;;;;;;;;;
-------------------------------------------------------------;;;;;;;;;;;
Measurement Date;2026-01-16T11:40:38.169473;;;;;;;;;;
Type;free;;;;;;;;;;
Sport;endurance;;;;;;;;;;
Focus;perform;;;;;;;;;;
Number of Sensors;1;;;;;;;;;;
Samples;23819;;;;;;;;;;
Measurement Duration;39:41:00;;;;;;;;;;
Distance;0 m;;;;;;;;;;
MSS Avg;37.00;;;;;;;;;;
TSI Min;54.06;;;;;;;;;;
TSI Max;70.37;;;;;;;;;;
TSI Avg;62.76;;;;;;;;;;
;;;;;;;;;;;
Muscle states;;;;;;;;;;;
Rest;01:14;;;;;;;;;;
Easy;17:36;;;;;;;;;;
Medi;04:59;;;;;;;;;;
Hard;15:44;;;;;;;;;;
Load;00:08;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Sensor 1;Train.Red FYER;;;;;;;;;;
-------------------------------------------------------------;;;;;;;;;;;
Sensor DataType;expertV13;;;;;;;;;;
Sensor ID;Train.Red FYER 1258;;;;;;;;;;
Mac Address;C44B7B39-DCBC-94D6-2866-1421BCEDBDBA;;;;;;;;;;
Firmware Version;;;;;;;;;;;
Sensor Position;quadVLRight;;;;;;;;;;
Initial TSI;69.66;;;;;;;;;;
Initial HBDiff;25.88;;;;;;;;;;
Initial o2Hb;33.22;;;;;;;;;;
Initial HHb;7.35;;;;;;;;;;
Tsi Var;14.0;;;;;;;;;;
Filter Id;6;;;;;;;;;;
MSS Avg;37;;;;;;;;;;
TSI Min;54.06;;;;;;;;;;
TSI Max;70.37;;;;;;;;;;
TSI Avg;62.76;;;;;;;;;;
;;;Train.Red FYER 1258;;;;;;;;
Timestamp (seconds passed);Lap/Event;;SmO2;HBDiff;Muscle state;Muscle trend;SmO2 unfiltered;O2HB unfiltered;HHb unfiltered;THb unfiltered;HBDiff unfiltered
0.00;0;;69.65;25.87;4;-2;69.75;-0.01;-0.02;40.54;25.88
0.12;0;;69.65;25.87;4;-2;70.08;0.04;-0.02;40.59;25.93
0.21;0;;69.65;25.87;4;-2;69.56;-0.05;-0.04;40.48;25.86
0.33;0;;69.66;25.87;0;2;70.06;-0.03;-0.06;40.48;25.90
0.39;0;;69.66;25.87;0;2;69.99;0.12;-0.05;40.64;26.04
0.51;0;;69.67;25.88;0;2;70.29;0.13;-0.01;40.69;26.01
0.60;0;;69.68;25.88;4;-2;69.94;0.08;-0.04;40.61;25.99
0.69;0;;69.69;25.88;4;-2;70.35;0.09;-0.03;40.63;25.99
0.81;0;;69.70;25.88;4;-2;70.61;-0.00;0.03;40.60;25.84
0.90;0;;69.71;25.88;4;-2;69.97;-0.10;0.01;40.48;25.76
0.99;0;;69.73;25.88;4;-2;69.96;-0.03;-0.02;40.52;25.86
1.11;0;;69.74;25.89;4;-2;69.75;0.09;-0.02;40.64;25.98
1.23;0;;69.76;25.89;4;-2;69.99;0.09;-0.02;40.64;25.98
1.32;0;;69.77;25.89;4;-2;69.86;0.08;0.02;40.67;25.93
1.41;0;;69.79;25.89;4;-2;70.10;0.07;0.02;40.66;25.92
1.50;0;;69.80;25.89;4;-2;69.76;0.03;-0.05;40.55;25.95
1.62;0;;69.81;25.89;4;-2;69.76;0.02;-0.09;40.50;25.98
1.71;0;;69.82;25.89;4;-2;70.18;-0.02;-0.04;40.51;25.89
1.83;0;;69.83;25.90;4;-2;69.51;-0.12;0.01;40.46;25.74
1.89;0;;69.84;25.90;0;2;69.93;-0.03;-0.01;40.53;25.85
2.01;0;;69.85;25.90;0;2;69.85;0.08;-0.02;40.63;25.97
2.10;0;;69.86;25.90;0;2;69.86;0.03;0.03;40.63;25.87
2.19;0;;69.86;25.90;0;2;70.09;-0.01;0.01;40.57;25.85
