Train.Red Export for;Malo session ;;;;;;;;;;
-------------------------------------------------------------;;;;;;;;;;;
Measurement Date;2026-01-16T10:43:32.854785;;;;;;;;;;
Type;free;;;;;;;;;;
Sport;endurance;;;;;;;;;;
Focus;perform;;;;;;;;;;
Number of Sensors;1;;;;;;;;;;
Samples;20850;;;;;;;;;;
Measurement Duration;36:04:00;;;;;;;;;;
Distance;0 m;;;;;;;;;;
MSS Avg;26.00;;;;;;;;;;
TSI Min;58.28;;;;;;;;;;
TSI Max;73.62;;;;;;;;;;
TSI Avg;64.48;;;;;;;;;;
;;;;;;;;;;;
Muscle states;;;;;;;;;;;
Rest;01:19;;;;;;;;;;
Easy;10:56;;;;;;;;;;
Medi;17:23;;;;;;;;;;
Hard;06:07;;;;;;;;;;
Load;00:17;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Sensor 1;Train.Red FYER;;;;;;;;;;
-------------------------------------------------------------;;;;;;;;;;;
Sensor DataType;expertV13;;;;;;;;;;
Sensor ID;Train.Red FYER 1258;;;;;;;;;;
Mac Address;DCC48916-4672-04F7-A0DB-519724C43DEA;;;;;;;;;;
Firmware Version;;;;;;;;;;;
Sensor Position;quadVLRight;;;;;;;;;;
Initial TSI;69.27;;;;;;;;;;
Initial HBDiff;14.38;;;;;;;;;;
Initial o2Hb;14.30;;;;;;;;;;
Initial HHb;1.44;;;;;;;;;;
Tsi Var;12.0;;;;;;;;;;
Filter Id;6;;;;;;;;;;
MSS Avg;26;;;;;;;;;;
TSI Min;58.28;;;;;;;;;;
TSI Max;73.62;;;;;;;;;;
TSI Avg;64.48;;;;;;;;;;
;;;Train.Red FYER 1258;;;;;;;;
Timestamp (seconds passed);Lap/Event;;SmO2;HBDiff;Muscle state;Muscle trend;SmO2 unfiltered;O2HB unfiltered;HHb unfiltered;THb unfiltered;HBDiff unfiltered
0.00;0;;69.27;14.37;0;2;72.72;1.90;1.52;17.64;14.76
0.09;0;;69.29;14.38;0;2;72.15;2.07;1.70;17.99;14.75
0.21;0;;69.32;14.38;0;2;72.55;2.10;1.69;18.01;14.79
0.30;0;;69.37;14.39;0;2;72.64;2.13;1.64;17.99;14.87
0.39;0;;69.44;14.39;0;2;72.67;2.19;1.73;18.14;14.84
0.48;0;;69.51;14.40;0;2;72.79;2.14;1.79;18.15;14.73
0.60;0;;69.60;14.42;0;2;72.72;2.18;1.79;18.19;14.77
0.69;0;;69.69;14.43;0;2;73.00;2.30;1.81;18.33;14.87
0.78;0;;69.80;14.44;0;2;72.70;2.31;1.87;18.40;14.82
